#options: 2560x1440 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2436 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:P dur:2 cpbdur:2 q:55.00 aq:49.55 tex:15764 mv:12562 misc:6282 imb:1320 pmb:666 smb:12414 d:- ref:0 ;
in:35 out:34 type:P dur:2 cpbdur:2 q:54.80 aq:49.39 tex:17677 mv:14140 misc:6535 imb:1746 pmb:636 smb:12018 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:54.90 aq:50.53 tex:6049 mv:9401 misc:4054 imb:95 pmb:929 smb:13376 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:54.47 aq:49.07 tex:10767 mv:9935 misc:5354 imb:943 pmb:557 smb:12900 d:- ref:0 ;
in:39 out:37 type:P dur:2 cpbdur:2 q:54.76 aq:48.68 tex:22752 mv:14060 misc:6876 imb:2058 pmb:551 smb:11791 d:- ref:0 ;
in:37 out:38 type:B dur:2 cpbdur:2 q:54.57 aq:50.02 tex:6152 mv:11032 misc:4232 imb:143 pmb:998 smb:13259 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:54.66 aq:49.81 tex:5538 mv:8198 misc:3832 imb:88 pmb:864 smb:13448 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:55.44 aq:49.80 tex:10403 mv:9614 misc:4863 imb:935 pmb:525 smb:12940 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:55.54 aq:49.65 tex:10194 mv:9577 misc:4861 imb:862 pmb:534 smb:13004 d:- ref:0 ;
in:44 out:42 type:P dur:2 cpbdur:2 q:55.62 aq:50.30 tex:16743 mv:11865 misc:5216 imb:1636 pmb:509 smb:12255 d:- ref:0 ;
in:42 out:43 type:B dur:2 cpbdur:2 q:55.56 aq:50.68 tex:6108 mv:10252 misc:4024 imb:75 pmb:1009 smb:13316 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:55.59 aq:50.58 tex:5267 mv:8048 misc:3661 imb:68 pmb:865 smb:13467 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:55.74 aq:49.82 tex:13884 mv:10475 misc:4937 imb:1306 pmb:473 smb:12621 d:- ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:55.80 aq:50.19 tex:14885 mv:10903 misc:5156 imb:1294 pmb:470 smb:12636 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:55.77 aq:50.99 tex:4500 mv:7182 misc:3414 imb:54 pmb:751 smb:13595 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:55.82 aq:50.05 tex:14376 mv:10805 misc:5019 imb:1063 pmb:556 smb:12781 d:- ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:55.79 aq:50.66 tex:17520 mv:12476 misc:5356 imb:1428 pmb:563 smb:12409 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:55.80 aq:50.99 tex:7010 mv:10100 misc:3986 imb:122 pmb:963 smb:13315 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:55.71 aq:50.72 tex:9399 mv:8220 misc:4373 imb:612 pmb:520 smb:13268 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:55.71 aq:50.61 tex:16547 mv:12025 misc:5188 imb:1384 pmb:564 smb:12452 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:55.59 aq:50.07 tex:16148 mv:12158 misc:5358 imb:1321 pmb:567 smb:12512 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:55.51 aq:49.77 tex:12087 mv:10331 misc:5294 imb:989 pmb:524 smb:12887 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:55.50 aq:50.15 tex:12983 mv:10834 misc:5327 imb:1170 pmb:508 smb:12722 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:55.39 aq:50.06 tex:10623 mv:9567 misc:5066 imb:908 pmb:510 smb:12982 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:55.25 aq:49.82 tex:12664 mv:10979 misc:5597 imb:1123 pmb:534 smb:12743 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:55.15 aq:50.34 tex:10233 mv:9250 misc:5261 imb:871 pmb:480 smb:13049 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:55.06 aq:49.77 tex:10599 mv:9590 misc:5347 imb:894 pmb:506 smb:13000 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:55.02 aq:49.08 tex:13790 mv:11173 misc:6125 imb:1224 pmb:518 smb:12658 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:54.94 aq:49.42 tex:10368 mv:9885 misc:5419 imb:918 pmb:499 smb:12983 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:54.82 aq:49.46 tex:11048 mv:10267 misc:5445 imb:963 pmb:521 smb:12916 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:54.77 aq:49.13 tex:12319 mv:11233 misc:5784 imb:1087 pmb:549 smb:12764 d:- ref:0 ;
in:66 out:64 type:P dur:2 cpbdur:2 q:54.73 aq:49.42 tex:24607 mv:15157 misc:6492 imb:2223 pmb:530 smb:11647 d:- ref:0 ;
in:64 out:65 type:B dur:2 cpbdur:2 q:54.76 aq:49.93 tex:10956 mv:14695 misc:5413 imb:402 pmb:1224 smb:12774 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:54.75 aq:50.11 tex:7643 mv:11772 misc:4657 imb:232 pmb:1091 smb:13077 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:54.59 aq:49.66 tex:13212 mv:11500 misc:5944 imb:1010 pmb:606 smb:12784 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:54.52 aq:49.30 tex:17276 mv:13387 misc:6209 imb:1387 pmb:588 smb:12425 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:54.46 aq:49.32 tex:13630 mv:12360 misc:6114 imb:1213 pmb:595 smb:12592 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:54.45 aq:49.78 tex:13279 mv:12187 misc:6062 imb:1140 pmb:578 smb:12682 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:54.45 aq:49.98 tex:13172 mv:11866 misc:5994 imb:1108 pmb:595 smb:12697 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:54.42 aq:49.35 tex:14669 mv:12212 misc:6207 imb:1263 pmb:540 smb:12597 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:54.40 aq:49.02 tex:16945 mv:13027 misc:6460 imb:1588 pmb:511 smb:12301 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:54.35 aq:49.20 tex:23029 mv:13339 misc:6648 imb:2508 pmb:405 smb:11487 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:54.37 aq:50.05 tex:10758 mv:13547 misc:5447 imb:471 pmb:1112 smb:12817 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:54.39 aq:50.38 tex:8121 mv:12522 misc:4749 imb:356 pmb:1030 smb:13014 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:54.36 aq:50.83 tex:6869 mv:9464 misc:4227 imb:168 pmb:912 smb:13320 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:54.16 aq:49.04 tex:30157 mv:15337 misc:6650 imb:3301 pmb:388 smb:10711 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:54.26 aq:49.82 tex:13340 mv:16383 misc:6005 imb:577 pmb:1257 smb:12566 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:54.30 aq:50.30 tex:9194 mv:12162 misc:4964 imb:337 pmb:1048 smb:13015 d:- ref:0 ;
